start_time,away_team,away_team_score,home_team,home_team_score
2021-10-19 23:30:00+00:00,BROOKLYN NETS,104,MILWAUKEE BUCKS,127
2021-10-20 02:00:00+00:00,GOLDEN STATE WARRIORS,121,LOS ANGELES LAKERS,114
2021-10-20 23:00:00+00:00,INDIANA PACERS,122,CHARLOTTE HORNETS,123
2021-10-20 23:00:00+00:00,CHICAGO BULLS,94,DETROIT PISTONS,88
2021-10-20 23:30:00+00:00,BOSTON CELTICS,134,NEW YORK KNICKS,138
2021-10-20 23:30:00+00:00,WASHINGTON WIZARDS,98,TORONTO RAPTORS,83
2021-10-21 00:00:00+00:00,CLEVELAND CAVALIERS,121,MEMPHIS GRIZZLIES,132
2021-10-21 00:00:00+00:00,HOUSTON ROCKETS,106,MINNESOTA TIMBERWOLVES,124
2021-10-21 00:00:00+00:00,PHILADELPHIA 76ERS,117,NEW ORLEANS PELICANS,97
2021-10-21 00:30:00+00:00,ORLANDO MAGIC,97,SAN ANTONIO SPURS,123
2021-10-21 01:00:00+00:00,OKLAHOMA CITY THUNDER,86,UTAH JAZZ,107
2021-10-21 02:00:00+00:00,SACRAMENTO KINGS,124,PORTLAND TRAIL BLAZERS,121
2021-10-21 02:00:00+00:00,DENVER NUGGETS,110,PHOENIX SUNS,98
2021-10-21 23:30:00+00:00,DALLAS MAVERICKS,87,ATLANTA HAWKS,113
2021-10-22 00:00:00+00:00,MILWAUKEE BUCKS,95,MIAMI HEAT,137
2021-10-22 02:00:00+00:00,LOS ANGELES CLIPPERS,113,GOLDEN STATE WARRIORS,115
2021-10-22 23:00:00+00:00,NEW YORK KNICKS,121,ORLANDO MAGIC,96
2021-10-22 23:00:00+00:00,INDIANA PACERS,134,WASHINGTON WIZARDS,135
2021-10-22 23:00:00+00:00,CHARLOTTE HORNETS,123,CLEVELAND CAVALIERS,112
2021-10-22 23:30:00+00:00,TORONTO RAPTORS,115,BOSTON CELTICS,83
2021-10-22 23:30:00+00:00,BROOKLYN NETS,114,PHILADELPHIA 76ERS,109
2021-10-23 00:00:00+00:00,OKLAHOMA CITY THUNDER,91,HOUSTON ROCKETS,124
2021-10-23 00:00:00+00:00,NEW ORLEANS PELICANS,112,CHICAGO BULLS,128
2021-10-23 01:00:00+00:00,SAN ANTONIO SPURS,96,DENVER NUGGETS,102
2021-10-23 02:00:00+00:00,PHOENIX SUNS,115,LOS ANGELES LAKERS,105
2021-10-23 02:00:00+00:00,UTAH JAZZ,110,SACRAMENTO KINGS,101
2021-10-23 22:00:00+00:00,ATLANTA HAWKS,95,CLEVELAND CAVALIERS,101
2021-10-23 23:00:00+00:00,MIAMI HEAT,91,INDIANA PACERS,102
2021-10-23 23:30:00+00:00,DALLAS MAVERICKS,103,TORONTO RAPTORS,95
2021-10-24 00:00:00+00:00,DETROIT PISTONS,82,CHICAGO BULLS,97
2021-10-24 00:00:00+00:00,NEW ORLEANS PELICANS,89,MINNESOTA TIMBERWOLVES,96
2021-10-24 00:30:00+00:00,MILWAUKEE BUCKS,121,SAN ANTONIO SPURS,111
2021-10-24 02:00:00+00:00,PHOENIX SUNS,105,PORTLAND TRAIL BLAZERS,134
2021-10-24 02:30:00+00:00,MEMPHIS GRIZZLIES,120,LOS ANGELES CLIPPERS,114
2021-10-24 20:00:00+00:00,CHARLOTTE HORNETS,111,BROOKLYN NETS,95
2021-10-24 23:00:00+00:00,BOSTON CELTICS,107,HOUSTON ROCKETS,97
2021-10-24 23:00:00+00:00,ORLANDO MAGIC,110,NEW YORK KNICKS,104
2021-10-24 23:00:00+00:00,PHILADELPHIA 76ERS,115,OKLAHOMA CITY THUNDER,103
2021-10-25 01:00:00+00:00,GOLDEN STATE WARRIORS,119,SACRAMENTO KINGS,107
2021-10-25 01:30:00+00:00,MEMPHIS GRIZZLIES,118,LOS ANGELES LAKERS,121
2021-10-25 23:00:00+00:00,BOSTON CELTICS,140,CHARLOTTE HORNETS,129
2021-10-25 23:00:00+00:00,MILWAUKEE BUCKS,119,INDIANA PACERS,109
2021-10-25 23:30:00+00:00,CHICAGO BULLS,111,TORONTO RAPTORS,108
2021-10-25 23:30:00+00:00,ORLANDO MAGIC,90,MIAMI HEAT,107
2021-10-25 23:30:00+00:00,WASHINGTON WIZARDS,90,BROOKLYN NETS,104
2021-10-25 23:30:00+00:00,DETROIT PISTONS,104,ATLANTA HAWKS,122
2021-10-26 00:00:00+00:00,NEW ORLEANS PELICANS,107,MINNESOTA TIMBERWOLVES,98
2021-10-26 01:00:00+00:00,CLEVELAND CAVALIERS,99,DENVER NUGGETS,87
2021-10-26 02:30:00+00:00,PORTLAND TRAIL BLAZERS,86,LOS ANGELES CLIPPERS,116
2021-10-26 23:30:00+00:00,PHILADELPHIA 76ERS,99,NEW YORK KNICKS,112
2021-10-27 00:00:00+00:00,GOLDEN STATE WARRIORS,106,OKLAHOMA CITY THUNDER,98
2021-10-27 00:30:00+00:00,LOS ANGELES LAKERS,125,SAN ANTONIO SPURS,121
2021-10-27 00:30:00+00:00,HOUSTON ROCKETS,106,DALLAS MAVERICKS,116
2021-10-27 02:00:00+00:00,DENVER NUGGETS,110,UTAH JAZZ,122
2021-10-27 23:00:00+00:00,CHARLOTTE HORNETS,120,ORLANDO MAGIC,111
2021-10-27 23:30:00+00:00,WASHINGTON WIZARDS,116,BOSTON CELTICS,107
2021-10-27 23:30:00+00:00,MIAMI HEAT,106,BROOKLYN NETS,93
2021-10-27 23:30:00+00:00,INDIANA PACERS,100,TORONTO RAPTORS,118
2021-10-27 23:30:00+00:00,ATLANTA HAWKS,102,NEW ORLEANS PELICANS,99
2021-10-28 00:00:00+00:00,MINNESOTA TIMBERWOLVES,113,MILWAUKEE BUCKS,108
2021-10-28 00:00:00+00:00,LOS ANGELES LAKERS,115,OKLAHOMA CITY THUNDER,123
2021-10-28 02:00:00+00:00,SACRAMENTO KINGS,110,PHOENIX SUNS,107
2021-10-28 02:00:00+00:00,MEMPHIS GRIZZLIES,96,PORTLAND TRAIL BLAZERS,116
2021-10-28 02:30:00+00:00,CLEVELAND CAVALIERS,92,LOS ANGELES CLIPPERS,79
2021-10-28 23:00:00+00:00,ATLANTA HAWKS,111,WASHINGTON WIZARDS,122
2021-10-28 23:00:00+00:00,DETROIT PISTONS,102,PHILADELPHIA 76ERS,110
2021-10-29 00:00:00+00:00,UTAH JAZZ,122,HOUSTON ROCKETS,91
