start_time,away_team,away_team_score,home_team,home_team_score
2022-10-24 00:00:00+00:00,MINNESOTA TIMBERWOLVES,116,OKLAHOMA CITY THUNDER,106
2022-10-24 00:30:00+00:00,SACRAMENTO KINGS,125,GOLDEN STATE WARRIORS,130
2022-10-24 02:00:00+00:00,PHOENIX SUNS,112,LOS ANGELES CLIPPERS,95
2022-10-24 23:00:00+00:00,INDIANA PACERS,106,PHILADELPHIA 76ERS,120
2022-10-24 23:30:00+00:00,TORONTO RAPTORS,98,MIAMI HEAT,90
2022-10-24 23:30:00+00:00,ORLANDO MAGIC,102,NEW YORK KNICKS,115
2022-10-25 00:00:00+00:00,BOSTON CELTICS,102,CHICAGO BULLS,120
2022-10-25 00:00:00+00:00,UTAH JAZZ,108,HOUSTON ROCKETS,114
2022-10-25 00:00:00+00:00,BROOKLYN NETS,124,MEMPHIS GRIZZLIES,134
2022-10-25 00:00:00+00:00,SAN ANTONIO SPURS,115,MINNESOTA TIMBERWOLVES,106
2022-10-25 02:00:00+00:00,DENVER NUGGETS,110,PORTLAND TRAIL BLAZERS,135
2022-10-25 23:00:00+00:00,DETROIT PISTONS,99,WASHINGTON WIZARDS,120
2022-10-25 23:30:00+00:00,DALLAS MAVERICKS,111,NEW ORLEANS PELICANS,113
2022-10-26 00:00:00+00:00,LOS ANGELES CLIPPERS,94,OKLAHOMA CITY THUNDER,108
2022-10-26 02:00:00+00:00,GOLDEN STATE WARRIORS,105,PHOENIX SUNS,134
2022-10-26 23:00:00+00:00,ORLANDO MAGIC,92,CLEVELAND CAVALIERS,103
2022-10-26 23:00:00+00:00,ATLANTA HAWKS,118,DETROIT PISTONS,113
2022-10-26 23:30:00+00:00,BROOKLYN NETS,99,MILWAUKEE BUCKS,110
2022-10-26 23:30:00+00:00,CHARLOTTE HORNETS,131,NEW YORK KNICKS,134
2022-10-26 23:30:00+00:00,PHILADELPHIA 76ERS,109,TORONTO RAPTORS,119
2022-10-27 00:00:00+00:00,INDIANA PACERS,109,CHICAGO BULLS,124
2022-10-27 00:00:00+00:00,SAN ANTONIO SPURS,122,MINNESOTA TIMBERWOLVES,134
2022-10-27 01:00:00+00:00,HOUSTON ROCKETS,101,UTAH JAZZ,109
2022-10-27 02:00:00+00:00,LOS ANGELES LAKERS,99,DENVER NUGGETS,110
2022-10-27 02:00:00+00:00,MIAMI HEAT,119,PORTLAND TRAIL BLAZERS,98
2022-10-27 23:30:00+00:00,DALLAS MAVERICKS,129,BROOKLYN NETS,125
2022-10-28 00:00:00+00:00,LOS ANGELES CLIPPERS,110,OKLAHOMA CITY THUNDER,118
2022-10-28 02:00:00+00:00,MIAMI HEAT,110,GOLDEN STATE WARRIORS,123
2022-10-28 02:00:00+00:00,MEMPHIS GRIZZLIES,125,SACRAMENTO KINGS,110
2022-10-28 23:00:00+00:00,ATLANTA HAWKS,136,DETROIT PISTONS,112
2022-10-28 23:00:00+00:00,CHARLOTTE HORNETS,93,ORLANDO MAGIC,113
2022-10-28 23:30:00+00:00,CLEVELAND CAVALIERS,132,BOSTON CELTICS,123
2022-10-28 23:30:00+00:00,PHILADELPHIA 76ERS,112,TORONTO RAPTORS,90
2022-10-28 23:30:00+00:00,INDIANA PACERS,127,WASHINGTON WIZARDS,117
2022-10-29 00:00:00+00:00,NEW YORK KNICKS,108,MILWAUKEE BUCKS,119
2022-10-29 00:00:00+00:00,LOS ANGELES LAKERS,102,MINNESOTA TIMBERWOLVES,111
2022-10-29 00:30:00+00:00,CHICAGO BULLS,124,SAN ANTONIO SPURS,129
2022-10-29 01:00:00+00:00,UTAH JAZZ,101,DENVER NUGGETS,117
2022-10-29 02:00:00+00:00,NEW ORLEANS PELICANS,111,PHOENIX SUNS,124
2022-10-29 02:00:00+00:00,HOUSTON ROCKETS,111,PORTLAND TRAIL BLAZERS,125
2022-10-29 22:00:00+00:00,MIAMI HEAT,113,SACRAMENTO KINGS,119
2022-10-29 23:00:00+00:00,GOLDEN STATE WARRIORS,113,CHARLOTTE HORNETS,120
2022-10-29 23:30:00+00:00,INDIANA PACERS,125,BROOKLYN NETS,116
2022-10-30 00:00:00+00:00,PHILADELPHIA 76ERS,114,CHICAGO BULLS,109
2022-10-30 00:00:00+00:00,ATLANTA HAWKS,115,MILWAUKEE BUCKS,123
2022-10-30 01:00:00+00:00,OKLAHOMA CITY THUNDER,117,DALLAS MAVERICKS,111
2022-10-30 01:00:00+00:00,MEMPHIS GRIZZLIES,123,UTAH JAZZ,124
2022-10-30 19:00:00+00:00,NEW ORLEANS PELICANS,112,LOS ANGELES CLIPPERS,91
2022-10-30 22:00:00+00:00,WASHINGTON WIZARDS,94,BOSTON CELTICS,112
2022-10-30 22:00:00+00:00,NEW YORK KNICKS,108,CLEVELAND CAVALIERS,121
2022-10-30 22:00:00+00:00,GOLDEN STATE WARRIORS,114,DETROIT PISTONS,128
2022-10-30 23:00:00+00:00,MINNESOTA TIMBERWOLVES,98,SAN ANTONIO SPURS,107
2022-10-30 23:30:00+00:00,ORLANDO MAGIC,105,DALLAS MAVERICKS,114
2022-10-31 01:00:00+00:00,HOUSTON ROCKETS,109,PHOENIX SUNS,124
2022-10-31 01:30:00+00:00,DENVER NUGGETS,110,LOS ANGELES LAKERS,121
2022-10-31 23:00:00+00:00,SACRAMENTO KINGS,115,CHARLOTTE HORNETS,108
2022-10-31 23:00:00+00:00,PHILADELPHIA 76ERS,118,WASHINGTON WIZARDS,111
2022-10-31 23:30:00+00:00,INDIANA PACERS,109,BROOKLYN NETS,116
2022-10-31 23:30:00+00:00,ATLANTA HAWKS,109,TORONTO RAPTORS,139
